temporada,cliente,producto,especie,variedad,pdf,url_estudio,url_pdf
2020-2021,Stoller,PROSTART PLUS,Cerezo,Santina,2020-2021__STOLLER__PROSTART_PLUS__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-stoller-prostart-plus-6/,https://ceresearch.com/wp-content/uploads/2022/09/INFORME.STOLLER.PROSTART-PLUS.SANTINA-CEREZOS.2021013.pdf
2016-2017,SummitAgro,MIMIC 2F,Vid,Cabernet sauvignon,2016-2017__SUMMITAGRO__MIMIC_2F__VID__CABERNET_SAUVIGNON.pdf,https://ceresearch.com/estudios/ensayo-summitagro-mimic-2f/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Mimic-f6659bb07c4d284d38ec8d0d398cc381.pdf
2019-2020,Tattersall/Daymsa,SYNCRON,Cerezo,Santina,2019-2020__TATTERSALL_DAYMSA__SYNCRON__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-tattersall-daymsa-syncron/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Syncron-76f842c4d0ad59d71f46798557499c66.pdf
2015-2016,Valent,ADMIRAL 10 EC,Vid,Cabernet sauvignon,2015-2016__VALENT__ADMIRAL_10_EC__VID__CABERNET_SAUVIGNON.pdf,https://ceresearch.com/estudios/ensayo-valent-admiral-10-ec/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Valent-a8d30534e39f25912843a4775bbeb15e.pdf
2019-2020,AgroTrust,PENERGETIC,Uva de mesa,Crimson seedless,2019-2020__AGROTRUST__PENERGETIC__UVA_DE_MESA__CRIMSON_SEEDLESS.pdf,https://ceresearch.com/estudios/ensayo-agrotrust-penergetic/,https://ceresearch.com/wp-content/uploads/2022/09/1920247-Informe.-CER.-Agrotrust.-Penergetic.-Vid-Crimson.-2019-2020.pdf
2015-2016,Cosmocel,MAXI-GROW EXCEL,Cerezo,Bing,2015-2016__COSMOCEL__MAXI-GROW_EXCEL__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-cosmocel-maxi-grow-excel/,https://ceresearch.com/wp-content/uploads/2022/08/Cosmocel-6c316717472fac33ca0ba33042f34063.pdf
2015-2016,Fertum,FARTUM ANTICRACKING Y FARTUM SILICIUM PK,Cerezo,Bing,2015-2016__FERTUM__FARTUM_ANTICRACKING_Y_FARTUM_SILICIUM_PK__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-fertum-fartum-anticracking-y-fartum-silicium-pk/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Fertum-906cd5a09ab9cba436ea06f0cc4634c9.pdf
2014-2016,Kelpak,KELPAK,Cerezo,Bing,2014-2016__KELPAK__KELPAK__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-kelpak-kelpak-8/,https://ceresearch.com/wp-content/uploads/2023/07/Ureta-Atenas-2019.pdf
2020-2021,NS Agro,HYDRA HUME,Cerezo,Santina,2020-2021__NS_AGRO__HYDRA_HUME__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-ns-agro-hydra-hume/,https://ceresearch.com/wp-content/uploads/2022/09/2021021.HYDRA-HUME.CALIDAD-SUELO.NSAGRO-CEREZO.-INFORME.2020-2021.pdf
2019-2020,Point Americas,PROPULSE,Cerezo,Skeena,2019-2020__POINT_AMERICAS__PROPULSE__CEREZO__SKEENA.pdf,https://ceresearch.com/estudios/ensayo-point-americas-propulse-2/,https://ceresearch.com/wp-content/uploads/2022/09/1920065.-Point-Americas.-Propulse.-Cuaja.-Skeena.2019-2020.pdf
2022-2023,Stoller,STIMULATE FRUIT SIZER,Cerezo,Santina,2022-2023__STOLLER__STIMULATE_FRUIT_SIZER__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-stoller-stimulate-fruit-sizer/,https://ceresearch.com/wp-content/uploads/2023/08/2223074.-INFORME.-STOLLER.-STIMULATE-FRUIT-SIZER.-CALIDAD-DE-FRUTA-CEREZO.pdf
2018-2019,Vals,NITROBRAKE,Cerezo,Lapins,2018-2019__VALS__NITROBRAKE__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-vals-nitrobrake-8/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Nitrobrake-774945197b61000b32363ed4a2d02a30.pdf
2019-2020,ActiGen,ACTIGEN,Nogal,Chandler,2019-2020__ACTIGEN__ACTIGEN__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-actigen-actigen/,https://ceresearch.com/wp-content/uploads/2022/09/Informe-ActiGen-Nogal-Chandler-2018-2020-Final^L.pdf
2015-2016,Aminochem,BIOIL-S (PRO),Nectarín,Artic snow,2015-2016__AMINOCHEM__BIOIL-S_PRO__NECTARIN__ARTIC_SNOW.pdf,https://ceresearch.com/estudios/ensayo-aminochem-bioil-s-pro-3/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-AminoChem-b44fa2b568ca1cfef64d1d56ef197e38.pdf
NA,BioApply,BAC APPLY,NA,NA,NA__BIOAPPLY__BAC_APPLY__NA__NA.pdf,https://ceresearch.com/estudios/ensayo-bioapply-bac-apply/,https://ceresearch.com/wp-content/uploads/2022/09/914.568-A.FITOPATOLOGIA.BIO-APPLY.-Biocontrol-Ps.-1.pdf
2020-2021,BioApply,TENS ZOLAR,Ciruelo japones,Angeleno,2020-2021__BIOAPPLY__TENS_ZOLAR__CIRUELO_JAPONES__ANGELENO.pdf,https://ceresearch.com/estudios/ensayo-bioapply-tens-zolar/,https://ceresearch.com/wp-content/uploads/2022/09/2021111.BIOAPPLY.TENS-ZOLAR.CIRUELO.ANGELENO..pdf
2022-2023,Biogrow,CITOBLOOM,Cerezo,Lapins,2022-2023__BIOGROW__CITOBLOOM__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-biogrow-citobloom/,https://ceresearch.com/wp-content/uploads/2023/08/2223050.-INFORME.-BIOGROW.-CITOBLOOM.-PRODUCCION-CEREZO.pdf
2018-2019,SUMMITAGRO,"KENJA, KALIGREEN, YAMATO",Cerezo,Santina,2018-2019__SUMMITAGRO__KENJA_KALIGREEN_YAMATO__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-summitagro-kenja-kaligreen-y-yamato/,https://ceresearch.com/wp-content/uploads/2023/07/1819178-Informe-Summit-Agro-Cerezo-Santina-V2-1.pdf
2016-2017,Adama,"ORIUS 43 SC, CAPTAN 80 WG Y CAPTAN 83 WP",Durazno,Pomona,2016-2017__ADAMA__ORIUS_43_SC_CAPTAN_80_WG_Y_CAPTAN_83_WP__DURAZNO__POMONA.pdf,https://ceresearch.com/estudios/ensayo-adama-orius-43-sc-captan-80-wg-y-captan-83-wp/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Orius-43-SC-2a9059f426ef7204d43fc5e29aba8189.pdf
2020-2021,Bayer,BAYFOLAN,Cerezo,Lapins,2020-2021__BAYER__BAYFOLAN__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-bayer-bayfolan/,https://ceresearch.com/wp-content/uploads/2022/10/INFORME.BAYER_.BAYFOLAN.CEREZO..pdf
2015-2016,BioAtlantis,SUPERFIFTY,Arándano,Star,2015-2016__BIOATLANTIS__SUPERFIFTY__ARANDANO__STAR.pdf,https://ceresearch.com/estudios/ensayo-bioatlantis-superfifty-2/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Zimex-bae292484a9f54b48d3034599c9f4f61.pdf
2019-2020,Fertum,PROGRAMA POSCOSECHA,Cerezo,Lapins,2019-2020__FERTUM__PROGRAMA_POSCOSECHA__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-fertum-programa-poscosecha-2/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Fertum-be145fc3abc1e91c5e2cf2c695f3e977.pdf
2017-2018,Humic,ZHIMAD,Ciruelo japonés,Angeleno,2017-2018__HUMIC__ZHIMAD__CIRUELO_JAPONES__ANGELENO.pdf,https://ceresearch.com/estudios/ensayo-humic-zhimad-2/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Portaliq-bd70ce770803acdda10bb74b462276ab-1.pdf
2021-2022,Tattersall / Daymsa,SYNCRON,Cerezo,Santina,2021-2022__TATTERSALL_DAYMSA__SYNCRON__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-tattersall-daymsa-syncron-5/,https://ceresearch.com/wp-content/uploads/2022/09/2122018.-INFORME.-TATTERSALL-DAYMSA.-SYNCRON.-DORMANCIA-CEREZO-SANTINA.pdf
2014-2015,Valent,RETAIN,Cerezo,Bing,2014-2015__VALENT__RETAIN__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-valent/,https://ceresearch.com/wp-content/uploads/2022/08/49-CER.-Valent.-Retain-Cerezos-Bing.-San-Francisco.-2014-2015.pdf
2021 – 2023,TATTERSALL,SURROUND,Cerezo,Regina,2021_2023__TATTERSALL__SURROUND__CEREZO__REGINA.pdf,https://ceresearch.com/estudios/ensayo-actigen-actigen-2/,https://ceresearch.com/wp-content/uploads/2023/10/2122170.-INFORME.-TATTERSALL.-SURROUND.-BLOQUEADOR-SOLAR-CEREZO-2.pdf
2018-2019,Adama,EXEL MAX Y EXEL GROW,Cerezo,Bing,2018-2019__ADAMA__EXEL_MAX_Y_EXEL_GROW__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-adama-exel-max-y-exel-grow/,https://ceresearch.com/wp-content/uploads/2022/08/xx-2ae9dcb29278f3e154ae9477d2e2ae02.pdf
2018-2019,BioApply,CA APPLY – FASE 2 – STICK,Uva de mesa,Krissy,2018-2019__BIOAPPLY__CA_APPLY_FASE_2_STICK__UVA_DE_MESA__KRISSY.pdf,https://ceresearch.com/estudios/ensayo-bioapply-ca-apply-fase-2-stick/,https://ceresearch.com/wp-content/uploads/2022/09/1819144-Informe.-Bioaplly.-Caapply.-Fase2.Stick_.-Uva-de-mesa.Krissy.2018-2019.pdf
2015-2016,Kelpak,KELPAK,Almendro,Non pareil,2015-2016__KELPAK__KELPAK__ALMENDRO__NON_PAREIL.pdf,https://ceresearch.com/estudios/ensayo-kelpak-kelpak/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Kelpak-7bdd31911bc1fc2e62be8ace917a320d.pdf
2019-2020,Stoller,FLOWER POWER,Cerezo,Bing,2019-2020__STOLLER__FLOWER_POWER__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-stoller-flower-power-2/,https://ceresearch.com/wp-content/uploads/2022/09/1920067.-Informe-Flower-Power.-Stoller.-2019-2020.pdf
2021-2022,Tattersall / Daymsa,SYNCRON,Cerezo,Lapins,2021-2022__TATTERSALL_DAYMSA__SYNCRON__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-tattersall-daymsa-syncron-6/,https://ceresearch.com/wp-content/uploads/2022/09/2122019.-INFORME.-TATTERSALL.-DAYMSA.-SYNCRON.-DORMANCIA-CEREZO-LAPINS.pdf
2017-2018,Vals,NITROBRAKE,Ciruelo japonés,Black kat,2017-2018__VALS__NITROBRAKE__CIRUELO_JAPONES__BLACK_KAT.pdf,https://ceresearch.com/estudios/ensayo-vals-nitrobrake-9/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Nitrobrake-aa5974f5e80e5bb7fe4a5d14c03ea5d2.pdf
2023 – 2024,Agrícola Terra,SPURT-L y SPURT-L DUST,Cerezo,Kordia,2023_2024__AGRICOLA_TERRA__SPURT-L_Y_SPURT-L_DUST__CEREZO__KORDIA.pdf,https://ceresearch.com/estudios/ensayo-agricola-terra-spurt-l-y-spurt-l-dust/,https://ceresearch.com/wp-content/uploads/2024/10/2324049.-INFORME.-AGRICOLA-TERRA.-SPURT-L.RENDIMIENTO-Y-CALIDAD-CEREZOS-V2.pdf
2016-2017,AgroSupport,PHOTON KOLOR,Uva de mesa,Timco,2016-2017__AGROSUPPORT__PHOTON_KOLOR__UVA_DE_MESA__TIMCO.pdf,https://ceresearch.com/estudios/ensayo-agrosupport-photon-kolor/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Photon-Kolor-d13635054b5a66e245f3edb254fe71fb.pdf
2020-2021,BioAmerica,CITOFOUR,Cerezo,Bing,2020-2021__BIOAMERICA__CITOFOUR__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-bioamerica-citofour-3/,https://ceresearch.com/wp-content/uploads/2022/09/INFORME.-CITOFOUR.-BIOAMERICA-CEREZO-2021085.pdf
2015-2016,Gruindag,REDFRUITS,Ciruelo europeo,D’Agen,2015-2016__GRUINDAG__REDFRUITS__CIRUELO_EUROPEO__DAGEN.pdf,https://ceresearch.com/estudios/ensayo-gruindag-redfruits/,https://ceresearch.com/wp-content/uploads/2022/08/Ciruelo-Europeo-0e7e01e446ffefd4105076a93b0dcad6.pdf
2017-2018,Humic,POTALIQ,Cerezo,Santina,2017-2018__HUMIC__POTALIQ__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-humic-potaliq/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Portaliq-6c8e69fe8d0d511cd5eedca81706bec6.pdf
2023 – 2024,Rad,RAD BOOSTS,Cerezos,Lapins,2023_2024__RAD__RAD_BOOSTS__CEREZOS__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-rad-rad-boosts/,https://ceresearch.com/wp-content/uploads/2024/10/2324167.-INFORME.-RAD.-RAD-BOOSTS.-PRODUCTIVIDAD-CEREZO-1.pdf
2015-2016,Stoller,PROSTART PLUS,Cerezo,Royal dawn,2015-2016__STOLLER__PROSTART_PLUS__CEREZO__ROYAL_DAWN.pdf,https://ceresearch.com/estudios/ensayo-stoller-prostart-plus/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Stoller-0f0995072842a5098211e766119a1537.pdf
2016-2017,Syngenta,PROCLAIM FORTE,Vid,Cabernet sauvignon,2016-2017__SYNGENTA__PROCLAIM_FORTE__VID__CABERNET_SAUVIGNON.pdf,https://ceresearch.com/estudios/ensayo-syngenta-proclaim-forte/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Syngenta-b260bcabc1ab05b2e661de256a4e4b0f-1.pdf
2015-2016,Valent,DANITOL 10 EC,Vid,Cabernet sauvignon,2015-2016__VALENT__DANITOL_10_EC__VID__CABERNET_SAUVIGNON.pdf,https://ceresearch.com/estudios/ensayo-valent-danitol-10-ec/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Valent-158bf6257f8f6f97abddebce01306a92.pdf
2016-2017,Vals,NITROBRAKE,Cerezo,Lapins,2016-2017__VALS__NITROBRAKE__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-vals-nitrobrake-2/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Vals-5cfe3e171947457f22be86c96563ef74.pdf
2015-2016,Adama,CORMORAN EC,Nogal,Chandler,2015-2016__ADAMA__CORMORAN_EC__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-adama-cormoran-ec/,https://ceresearch.com/wp-content/uploads/2022/09/Ensayo-Adama-7c7cc8f5e954006778be6f7f05f02f0e.pdf
2015-2016,Aminochem,Bioil-S (pro),Nogal,Chandler,2015-2016__AMINOCHEM__BIOIL-S_PRO__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-aminochem-bioil-s-pro-4/,https://ceresearch.com/wp-content/uploads/2022/07/Ensayo-AminoChem-e6a1c90afda075dfb634af7b4d6c9243.pdf
2019-2020,BioAmerica,CITOFOUR,Cerezo,Bing,2019-2020__BIOAMERICA__CITOFOUR__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-bioamerica-citofour-2/,https://ceresearch.com/wp-content/uploads/2022/09/1920041.-Informe-Citofour.-Bioamerica.-2019-2020.pdf
2018-2019,BioAmerica,CITOFOUR,Cerezo,Lapins,2018-2019__BIOAMERICA__CITOFOUR__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-bioamerica-citofour/,https://ceresearch.com/wp-content/uploads/2022/09/Informe-Bioamerica-Citofour-2018-2019.pdf
2017-2018,Compo expert,BASFOLIAR KELP,Cerezo,Bing,2017-2018__COMPO_EXPERT__BASFOLIAR_KELP__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-compo-expert-basfoliar-kelp/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Basfoliar-Kelp-065c3f3f1267dd2e6fe84149d9161bb0.pdf
2018-2019,Kelpak,KELPAK,Nogal,Chandler,2018-2019__KELPAK__KELPAK__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-kelpak-kelpak-4/,https://ceresearch.com/wp-content/uploads/2022/09/Informe-Kelp-Kelpak-Nogal.-Chandler-2018-2019-1.pdf
2020-2021,Tattersall / Daymsa,SYNCRON,Cerezo,Santina,2020-2021__TATTERSALL_DAYMSA__SYNCRON__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-tattersall-daymsa-syncron-4/,https://ceresearch.com/wp-content/uploads/2022/09/2021010.TATTERSALL-DAYMSA.-SYNCRON.-SANTINA.-INFORME..pdf
2016-2017,Tavan,SPRINT COLOR,Nectarín,Giant pearl,2016-2017__TAVAN__SPRINT_COLOR__NECTARIN__GIANT_PEARL.pdf,https://ceresearch.com/estudios/ensayo-tavan-sprint-color/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Sprint-Color-f8861cba169e4a4e73efe49fc9ef1066.pdf
2015-2016,Valent,SUNNY,Cerezo,Lapins,2015-2016__VALENT__SUNNY__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-valent-sunny/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Valent-9edd9834f32512f866df2b2d7cd851a2.pdf
2021-2022,Agrospec,"ESPIRODICLOFEN 240 SC, LAS MEZCLAS DE ESPIRODICLOFEN CON BIFENTRIN 100 EC Y ABAMECTINA",Nogal,Chandler,2021-2022__AGROSPEC__ESPIRODICLOFEN_240_SC_LAS_MEZCLAS_DE_ESPIRODICLOFEN_CON_BIFENTRIN_100_EC_Y_ABAMECTINA__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-agrospec-espirodiclofen-240-sc-las-mezclas-de-espirodiclofen-con-bifentrin-100-ec-y-abamectina/,https://ceresearch.com/wp-content/uploads/2023/04/2122105.-INFORME.-AGROSPEC.-ESPIRODICLOFEN-240-SC.-ACARICIDA-TETRANYCHUS-NOGAL-V3-1-1.pdf
2020-2021,BioAgro,PROBO 53 VF,Cerezo,Bing,2020-2021__BIOAGRO__PROBO_53_VF__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-bioagro-probo-53-vf-3/,https://ceresearch.com/wp-content/uploads/2022/10/BIOAGRO.-PROBO-53-VF.-VIROSIS.DESORDEN.FISIOLOGICO.pdf
2022 – 2023,Nutriprove,OASIS,Cerezo,Regina,2022_2023__NUTRIPROVE__OASIS__CEREZO__REGINA.pdf,https://ceresearch.com/estudios/ensayo-nutriprove-oasis/,https://ceresearch.com/wp-content/uploads/2023/08/2223088.-INFORME.-NUTRIPROVE.-OASIS.-ESTRES-CEREZO-2.pdf
2020-2021,Stoller,BIO-HOLD,Cerezo,Bing,2020-2021__STOLLER__BIO-HOLD__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-stoller-bio-hold-2/,https://ceresearch.com/wp-content/uploads/2022/09/INFORME.STOLLER.BIO-HOLD.-CEREZOS.2021087.pdf
2018-2019,Tequia,NA,Especies vegetales,NA,2018-2019__TEQUIA__NA__ESPECIES_VEGETALES__NA.pdf,https://ceresearch.com/estudios/ensayo-tequia/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-TCAS-4d90d2da76ae6cd32f596367371f2c22.pdf
2024-2025,Bioagro,FOSFIREND,Uva de mesa,"Jack`s Salute, Sweet favors, Sweet celebration",2024-2025__BIOAGRO__FOSFIREND__UVA_DE_MESA__JACK_S_SALUTE_SWEET_FAVORS_SWEET_CELEBRATION.pdf,https://ceresearch.com/estudios/ensayo-bioagro-fosfirend/,https://ceresearch.com/wp-content/uploads/2025/10/2425226.-INFORME.-BIOAGRO.-FOSFIREND.-DETECCION-DE-RESIDUOS-UVA-V3.pdf
2018-2019,Fertum,PROGRAMA POSCOSECHA,Cerezo,Lapins,2018-2019__FERTUM__PROGRAMA_POSCOSECHA__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-fertum-programa-poscosecha/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Fertum-programa-70f04f2d6dd8fa6c409916fe510fbf19.pdf
2015-2016,Gruindag,REDFRUITS,Cerezo,Bing,2015-2016__GRUINDAG__REDFRUITS__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-gruindag-redfruits-2/,https://ceresearch.com/wp-content/uploads/2022/08/Gruidag-7bdd37c5f7d9c4265d4554f243888981-1.pdf
2015-2016,Valent,DIPEL WG,Vid,Cabernet sauvignon,2015-2016__VALENT__DIPEL_WG__VID__CABERNET_SAUVIGNON.pdf,https://ceresearch.com/estudios/ensayo-valent-dipel-wg/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Valent-2a7ffd1da9ace51a2134eb7fd7e688de.pdf
2015-2016,Kelpak,KELPAK,Cerezo,Bing,2015-2016__KELPAK__KELPAK__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-kelpak-kelpak-2/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Kelpak-58ee314a58c05a594d71c1ee811a8b23.pdf
